,x,y1,y2,y1err,y2err,z
21,333899985059840.0,2675311764615.2236,2187835240979.7803,730137804692.2897,760781610688.778,0.2849089252005734
22,72300003065856.0,1019718866180.0516,874889781747.2961,253408414655.60123,313751032531.0697,0.25633055922001713
23,78599998668800.0,470623203947.4253,471076564183.0897,138776854164.40344,271614946966.60886,0.28976219216486937
24,83889997479936.0,870048248445.4297,988943249616.9777,260899349186.05508,332234154049.01245,0.2946514908317071
25,54589999022080.0,458767251523.2894,734639708962.7704,275855216700.99023,464596383588.5588,0.29361393006693265
26,590600013348864.0,4389453071390.1416,3755030186626.775,747577455793.9083,852096160272.3646,0.28904061595639263
27,246200007655424.0,1167349811370.32,1160530651939.0154,307595438800.83185,353971708978.2249,0.2932886528238647
28,152600003477504.0,643316938453.2961,1019824624962.7722,160029202856.69888,245085036810.85364,0.29051377750049256
29,63830000402432.0,610896641502.6266,688460094018.0653,175771060628.10226,260568313162.52194,0.30299989933342236
30,144000002555904.0,647572039368.5962,846107691667.5544,377052183111.4863,481562591492.3478,0.3081930911936023
31,264300006473728.0,1261819459465.7935,1560166724008.8074,267389823005.4031,344726006741.13464,0.29052519656385695
32,885900020023296.0,8655160727318.828,8544860147718.213,866672889962.5332,993275409329.0781,0.1452883311937927
33,233399998480384.0,2635842813186.9453,2331973992723.225,597816596088.8054,507853868674.6368,0.10223651810246348
34,258199995285504.0,2847814393510.7856,3265579369157.3604,666620060195.8566,749741400112.8894,0.10197408211141018
35,331999998902272.0,1625110024155.2576,2514475697071.9473,432301995925.2918,567730531103.9734,0.14366441594925788
36,160499991838720.0,1131250947244.5369,1712310047209.8093,319411285612.54114,419920054476.5819,0.13802575317793908
37,136499999801344.0,1391027635137.6897,1624109927842.7927,509905773886.846,598342484397.8748,0.1165565276934921
38,485200005955584.0,4039361721984.641,4426359992774.122,471662250437.4392,546280464870.1595,0.16741448630295852
39,270499993092096.0,1280954333517.2693,2109905213663.5642,277728757530.5825,594152651798.1974,0.15117185720727452
40,132700002320384.0,912673202899.7712,1377391955379.3728,271675851922.6212,405150198128.48224,0.1467242720484247
41,59479999643648.0,357053924574.2867,309334635479.0474,143131519593.6655,173804946170.92053,0.14416136199711516
42,106599997767680.0,606356294659.4272,758125899526.8018,292573572878.1563,359957491512.8823,0.15778454283015203
43,117400003411968.0,716973069396.6597,946183258550.9827,304907145842.4047,355594436723.6004,0.145098630293646
44,61620000653312.0,498467071527.5439,606110659185.4935,194489997046.82178,227813183998.7477,0.1466342234335922
